Entry	Entry name	Gene names	Organism	Length
Q4C243	Q4C243_CROWT	CwatDRAFT_2991	Crocosphaera watsonii WH 8501	257
Q4C390	Q4C390_CROWT	acsF CwatDRAFT_3460	Crocosphaera watsonii WH 8501	359
Q4CA10	Q4CA10_CROWT	CwatDRAFT_6233	Crocosphaera watsonii WH 8501	203
Q4C676	Q4C676_CROWT	rpsJ rps10 CwatDRAFT_4697	Crocosphaera watsonii WH 8501	105
Q4C4E9	Q4C4E9_CROWT	CwatDRAFT_4090	Crocosphaera watsonii WH 8501	393
Q4C606	Q4C606_CROWT	CwatDRAFT_4808	Crocosphaera watsonii WH 8501	387
Q4BVN0	Q4BVN0_CROWT	CwatDRAFT_0323	Crocosphaera watsonii WH 8501	119
Q4BVJ7	Q4BVJ7_CROWT	CwatDRAFT_0551	Crocosphaera watsonii WH 8501	115
Q4C758	Q4C758_CROWT	CwatDRAFT_5205	Crocosphaera watsonii WH 8501	164
Q4C9P6	Q4C9P6_CROWT	ycf4 CwatDRAFT_6489	Crocosphaera watsonii WH 8501	183
Q4C3N7	Q4C3N7_CROWT	CwatDRAFT_3886	Crocosphaera watsonii WH 8501	187
Q4C1U3	Q4C1U3_CROWT	CwatDRAFT_2507	Crocosphaera watsonii WH 8501	225
Q4C1I1	Q4C1I1_CROWT	CwatDRAFT_3388	Crocosphaera watsonii WH 8501	137
Q4C8L9	Q4C8L9_CROWT	CwatDRAFT_5879	Crocosphaera watsonii WH 8501	80
Q4C496	Q4C496_CROWT	CwatDRAFT_4006	Crocosphaera watsonii WH 8501	166
Q4C673	Q4C673_CROWT	CwatDRAFT_4846	Crocosphaera watsonii WH 8501	399
Q4BXY4	Q4BXY4_CROWT	CwatDRAFT_1659	Crocosphaera watsonii WH 8501	63
Q4C1R2	Q4C1R2_CROWT	CwatDRAFT_2727	Crocosphaera watsonii WH 8501	204
Q4C3Q4	Q4C3Q4_CROWT	thiE CwatDRAFT_3783	Crocosphaera watsonii WH 8501	338
Q4C115	Q4C115_CROWT	rplW rpl23 CwatDRAFT_2441	Crocosphaera watsonii WH 8501	100
Q4C2I4	Q4C2I4_CROWT	CwatDRAFT_3362	Crocosphaera watsonii WH 8501	189
Q4C9A3	Q4C9A3_CROWT	CwatDRAFT_6409	Crocosphaera watsonii WH 8501	959
Q4BUQ9	Q4BUQ9_CROWT	CwatDRAFT_0183	Crocosphaera watsonii WH 8501	305
Q4C1L4	Q4C1L4_CROWT	CwatDRAFT_3293	Crocosphaera watsonii WH 8501	359
Q4C1Y2	Q4C1Y2_CROWT	polA CwatDRAFT_3308	Crocosphaera watsonii WH 8501	970
Q4BY05	Q4BY05_CROWT	rpsU rps21 CwatDRAFT_1279	Crocosphaera watsonii WH 8501	60
Q4BXJ7	Q4BXJ7_CROWT	sbcD CwatDRAFT_1562	Crocosphaera watsonii WH 8501	406
Q4C5Q0	Q4C5Q0_CROWT	CwatDRAFT_4483	Crocosphaera watsonii WH 8501	223
Q4BY56	Q4BY56_CROWT	CwatDRAFT_1417	Crocosphaera watsonii WH 8501	384
Q4C213	Q4C213_CROWT	CwatDRAFT_2854	Crocosphaera watsonii WH 8501	352
Q4C1L3	Q4C1L3_CROWT	CwatDRAFT_3292	Crocosphaera watsonii WH 8501	117
Q4C308	Q4C308_CROWT	CwatDRAFT_3575	Crocosphaera watsonii WH 8501	97
Q4C0M3	Q4C0M3_CROWT	CwatDRAFT_3111	Crocosphaera watsonii WH 8501	123
Q4BWW9	Q4BWW9_CROWT	CwatDRAFT_1263	Crocosphaera watsonii WH 8501	202
Q4C1F7	Q4C1F7_CROWT	CwatDRAFT_2939	Crocosphaera watsonii WH 8501	104
Q4C5U4	Q4C5U4_CROWT	CwatDRAFT_4771	Crocosphaera watsonii WH 8501	519
Q4C4L2	Q4C4L2_CROWT	CwatDRAFT_4202	Crocosphaera watsonii WH 8501	439
Q4BZC5	Q4BZC5_CROWT	CwatDRAFT_2516	Crocosphaera watsonii WH 8501	116
Q4C3Y7	Q4C3Y7_CROWT	CwatDRAFT_3964	Crocosphaera watsonii WH 8501	398
Q4C4N0	Q4C4N0_CROWT	CwatDRAFT_4184	Crocosphaera watsonii WH 8501	226
Q4C452	Q4C452_CROWT	CwatDRAFT_3765	Crocosphaera watsonii WH 8501	479
Q4C4Z3	Q4C4Z3_CROWT	gloB CwatDRAFT_4363	Crocosphaera watsonii WH 8501	257
Q4BXE0	Q4BXE0_CROWT	CwatDRAFT_0760	Crocosphaera watsonii WH 8501	114
Q4C926	Q4C926_CROWT	CwatDRAFT_5955	Crocosphaera watsonii WH 8501	290
Q4BWR6	Q4BWR6_CROWT	CwatDRAFT_0852	Crocosphaera watsonii WH 8501	278
Q4BXZ1	Q4BXZ1_CROWT	CwatDRAFT_1443	Crocosphaera watsonii WH 8501	380
Q4BY42	Q4BY42_CROWT	CwatDRAFT_1643	Crocosphaera watsonii WH 8501	560
Q4C527	Q4C527_CROWT	CwatDRAFT_4409	Crocosphaera watsonii WH 8501	202
Q4C417	Q4C417_CROWT	CwatDRAFT_3740	Crocosphaera watsonii WH 8501	104
Q4C1X3	Q4C1X3_CROWT	CwatDRAFT_3316	Crocosphaera watsonii WH 8501	286
Q4C4M9	Q4C4M9_CROWT	CwatDRAFT_4185	Crocosphaera watsonii WH 8501	81
Q4C7U9	Q4C7U9_CROWT	CwatDRAFT_5528	Crocosphaera watsonii WH 8501	232
Q4C4L0	Q4C4L0_CROWT	tsf CwatDRAFT_4200	Crocosphaera watsonii WH 8501	239
Q4C8M6	Q4C8M6_CROWT	hisG CwatDRAFT_5365	Crocosphaera watsonii WH 8501	213
Q4BVG9	Q4BVG9_CROWT	CwatDRAFT_0588	Crocosphaera watsonii WH 8501	310
Q4C7Y2	Q4C7Y2_CROWT	CwatDRAFT_5754	Crocosphaera watsonii WH 8501	604
Q4C7Y7	Q4C7Y7_CROWT	CwatDRAFT_5508	Crocosphaera watsonii WH 8501	280
Q4C7P1	Q4C7P1_CROWT	CwatDRAFT_5564	Crocosphaera watsonii WH 8501	1541
Q4C4S5	Q4C4S5_CROWT	CwatDRAFT_4271	Crocosphaera watsonii WH 8501	126
Q4C9G1	Q4C9G1_CROWT	gmk CwatDRAFT_6352	Crocosphaera watsonii WH 8501	184
Q4BWB2	Q4BWB2_CROWT	CwatDRAFT_0837	Crocosphaera watsonii WH 8501	259
Q4C360	Q4C360_CROWT	valS CwatDRAFT_3526	Crocosphaera watsonii WH 8501	907
Q4BXE2	Q4BXE2_CROWT	CwatDRAFT_0772	Crocosphaera watsonii WH 8501	306
Q4CA67	Q4CA67_CROWT	CwatDRAFT_6209	Crocosphaera watsonii WH 8501	370
Q4BVV6	Q4BVV6_CROWT	CwatDRAFT_0639	Crocosphaera watsonii WH 8501	133
Q4C0X1	Q4C0X1_CROWT	CwatDRAFT_2655	Crocosphaera watsonii WH 8501	489
Q4C6Q9	Q4C6Q9_CROWT	CwatDRAFT_4984	Crocosphaera watsonii WH 8501	372
Q4C4M6	Q4C4M6_CROWT	cpcS CwatDRAFT_4215	Crocosphaera watsonii WH 8501	175
Q4C2G0	Q4C2G0_CROWT	CwatDRAFT_3343	Crocosphaera watsonii WH 8501	289
Q4C0N9	Q4C0N9_CROWT	CwatDRAFT_2610	Crocosphaera watsonii WH 8501	105
Q4C952	Q4C952_CROWT	CwatDRAFT_5257	Crocosphaera watsonii WH 8501	161
Q4BYW6	Q4BYW6_CROWT	CwatDRAFT_1788	Crocosphaera watsonii WH 8501	210
Q4C784	Q4C784_CROWT	CwatDRAFT_5223	Crocosphaera watsonii WH 8501	193
Q4C706	Q4C706_CROWT	CwatDRAFT_4918	Crocosphaera watsonii WH 8501	459
Q4C002	Q4C002_CROWT	CwatDRAFT_2312	Crocosphaera watsonii WH 8501	71
Q4BXK6	Q4BXK6_CROWT	CwatDRAFT_1246	Crocosphaera watsonii WH 8501	210
Q4C3U1	Q4C3U1_CROWT	CwatDRAFT_3914	Crocosphaera watsonii WH 8501	202
Q4BXB6	Q4BXB6_CROWT	CwatDRAFT_1211	Crocosphaera watsonii WH 8501	1989
Q4C0L7	Q4C0L7_CROWT	CwatDRAFT_3115	Crocosphaera watsonii WH 8501	280
Q4C193	Q4C193_CROWT	CwatDRAFT_2796	Crocosphaera watsonii WH 8501	424
Q4C623	Q4C623_CROWT	ilvC CwatDRAFT_4730	Crocosphaera watsonii WH 8501	331
Q4C9W4	Q4C9W4_CROWT	gmd CwatDRAFT_6264	Crocosphaera watsonii WH 8501	362
Q4C013	Q4C013_CROWT	CwatDRAFT_2319	Crocosphaera watsonii WH 8501	346
Q4CAZ5	Q4CAZ5_CROWT	CwatDRAFT_6718	Crocosphaera watsonii WH 8501	168
Q4C2A2	Q4C2A2_CROWT	CwatDRAFT_3432	Crocosphaera watsonii WH 8501	261
Q4C2B4	Q4C2B4_CROWT	CwatDRAFT_3439	Crocosphaera watsonii WH 8501	81
Q4C0F3	Q4C0F3_CROWT	CwatDRAFT_3183	Crocosphaera watsonii WH 8501	288
Q4C276	Q4C276_CROWT	CwatDRAFT_3139	Crocosphaera watsonii WH 8501	309
Q4BX72	Q4BX72_CROWT	CwatDRAFT_0988	Crocosphaera watsonii WH 8501	308
Q4CAR5	Q4CAR5_CROWT	CwatDRAFT_6677	Crocosphaera watsonii WH 8501	251
Q4C4N7	Q4C4N7_CROWT	CwatDRAFT_4219	Crocosphaera watsonii WH 8501	169
Q4BX45	Q4BX45_CROWT	CwatDRAFT_1893	Crocosphaera watsonii WH 8501	226
Q4C8C3	Q4C8C3_CROWT	CwatDRAFT_5432	Crocosphaera watsonii WH 8501	308
Q4BWV1	Q4BWV1_CROWT	CwatDRAFT_1496	Crocosphaera watsonii WH 8501	479
Q4BWR9	Q4BWR9_CROWT	CwatDRAFT_0858	Crocosphaera watsonii WH 8501	204
Q4BWM8	Q4BWM8_CROWT	CwatDRAFT_0796	Crocosphaera watsonii WH 8501	320
Q4C3T3	Q4C3T3_CROWT	CwatDRAFT_3811	Crocosphaera watsonii WH 8501	256
Q4BWU6	Q4BWU6_CROWT	CwatDRAFT_1499	Crocosphaera watsonii WH 8501	479
Q4C6Y6	Q4C6Y6_CROWT	pstB CwatDRAFT_4932	Crocosphaera watsonii WH 8501	272
Q4C8I4	Q4C8I4_CROWT	CwatDRAFT_5396	Crocosphaera watsonii WH 8501	139
Q4BZE2	Q4BZE2_CROWT	rnz CwatDRAFT_2011	Crocosphaera watsonii WH 8501	315
Q4C0Z4	Q4C0Z4_CROWT	purM CwatDRAFT_2767	Crocosphaera watsonii WH 8501	340
Q4CAV0	Q4CAV0_CROWT	CwatDRAFT_6695	Crocosphaera watsonii WH 8501	438
Q4BYC6	Q4BYC6_CROWT	CwatDRAFT_1743	Crocosphaera watsonii WH 8501	340
Q4C153	Q4C153_CROWT	secY CwatDRAFT_2396	Crocosphaera watsonii WH 8501	439
Q4C0N5	Q4C0N5_CROWT	pheS CwatDRAFT_2609	Crocosphaera watsonii WH 8501	331
Q4C957	Q4C957_CROWT	CwatDRAFT_5254	Crocosphaera watsonii WH 8501	314
Q4BWF1	Q4BWF1_CROWT	CwatDRAFT_1298	Crocosphaera watsonii WH 8501	553
Q4BYQ0	Q4BYQ0_CROWT	CwatDRAFT_2192	Crocosphaera watsonii WH 8501	479
Q4BZL6	Q4BZL6_CROWT	CwatDRAFT_2378	Crocosphaera watsonii WH 8501	422
Q4BW25	Q4BW25_CROWT	CwatDRAFT_1521	Crocosphaera watsonii WH 8501	93
Q4BX26	Q4BX26_CROWT	CwatDRAFT_0611	Crocosphaera watsonii WH 8501	332
Q4BUG0	Q4BUG0_CROWT	CwatDRAFT_0153	Crocosphaera watsonii WH 8501	238
Q4C5Q6	Q4C5Q6_CROWT	purF CwatDRAFT_4479	Crocosphaera watsonii WH 8501	497
Q4C3A2	Q4C3A2_CROWT	CwatDRAFT_3607	Crocosphaera watsonii WH 8501	41
Q4BZV6	Q4BZV6_CROWT	CwatDRAFT_2571	Crocosphaera watsonii WH 8501	264
Q4BXE8	Q4BXE8_CROWT	eno CwatDRAFT_1513	Crocosphaera watsonii WH 8501	424
Q4C677	Q4C677_CROWT	tuf CwatDRAFT_4696	Crocosphaera watsonii WH 8501	409
Q4BUL5	Q4BUL5_CROWT	CwatDRAFT_0289	Crocosphaera watsonii WH 8501	161
Q4BYY7	Q4BYY7_CROWT	CwatDRAFT_3061	Crocosphaera watsonii WH 8501	872
Q4BYL0	Q4BYL0_CROWT	CwatDRAFT_1672	Crocosphaera watsonii WH 8501	149
Q4C5A6	Q4C5A6_CROWT	CwatDRAFT_4456	Crocosphaera watsonii WH 8501	263
Q4C3E0	Q4C3E0_CROWT	pyrF CwatDRAFT_3688	Crocosphaera watsonii WH 8501	232
Q4BV09	Q4BV09_CROWT	CwatDRAFT_0288	Crocosphaera watsonii WH 8501	196
Q4C282	Q4C282_CROWT	CwatDRAFT_3136	Crocosphaera watsonii WH 8501	123
Q4C0Q1	Q4C0Q1_CROWT	CwatDRAFT_2602	Crocosphaera watsonii WH 8501	468
Q4C9K3	Q4C9K3_CROWT	CwatDRAFT_6460	Crocosphaera watsonii WH 8501	217
Q4BX66	Q4BX66_CROWT	CwatDRAFT_0984	Crocosphaera watsonii WH 8501	195
Q4BV83	Q4BV83_CROWT	CwatDRAFT_0359	Crocosphaera watsonii WH 8501	479
Q4C6B5	Q4C6B5_CROWT	CwatDRAFT_4667	Crocosphaera watsonii WH 8501	385
Q4C111	Q4C111_CROWT	rpsC rps3 CwatDRAFT_2445	Crocosphaera watsonii WH 8501	241
Q4BXR8	Q4BXR8_CROWT	CwatDRAFT_1467	Crocosphaera watsonii WH 8501	136
Q4C7B2	Q4C7B2_CROWT	folD CwatDRAFT_5626	Crocosphaera watsonii WH 8501	293
Q4C4U0	Q4C4U0_CROWT	cysS CwatDRAFT_4250	Crocosphaera watsonii WH 8501	482
Q4C9C4	Q4C9C4_CROWT	glgA CwatDRAFT_6377	Crocosphaera watsonii WH 8501	490
Q4C2Q6	Q4C2Q6_CROWT	proB CwatDRAFT_3087	Crocosphaera watsonii WH 8501	370
Q4C0Z2	Q4C0Z2_CROWT	CwatDRAFT_2769	Crocosphaera watsonii WH 8501	315
Q4BZH5	Q4BZH5_CROWT	CwatDRAFT_2083	Crocosphaera watsonii WH 8501	745
Q4C6F0	Q4C6F0_CROWT	CwatDRAFT_5048	Crocosphaera watsonii WH 8501	369
Q4C0H3	Q4C0H3_CROWT	CwatDRAFT_2986	Crocosphaera watsonii WH 8501	185
Q4BVI1	Q4BVI1_CROWT	CwatDRAFT_0580	Crocosphaera watsonii WH 8501	121
Q4BYM1	Q4BYM1_CROWT	glgA CwatDRAFT_2178	Crocosphaera watsonii WH 8501	526
Q4C5J3	Q4C5J3_CROWT	CwatDRAFT_4518	Crocosphaera watsonii WH 8501	498
Q4C894	Q4C894_CROWT	cofG CwatDRAFT_5446	Crocosphaera watsonii WH 8501	324
Q4C9V5	Q4C9V5_CROWT	hisH CwatDRAFT_6518	Crocosphaera watsonii WH 8501	211
Q4BYR9	Q4BYR9_CROWT	CwatDRAFT_1922	Crocosphaera watsonii WH 8501	225
Q4C7I6	Q4C7I6_CROWT	CwatDRAFT_5675	Crocosphaera watsonii WH 8501	325
Q4BUQ3	Q4BUQ3_CROWT	CwatDRAFT_0336	Crocosphaera watsonii WH 8501	196
Q4C8D5	Q4C8D5_CROWT	CwatDRAFT_5837	Crocosphaera watsonii WH 8501	86
Q4C320	Q4C320_CROWT	CwatDRAFT_3586	Crocosphaera watsonii WH 8501	83
Q4C4D0	Q4C4D0_CROWT	CwatDRAFT_3980	Crocosphaera watsonii WH 8501	349
Q4BYZ3	Q4BYZ3_CROWT	CwatDRAFT_3050	Crocosphaera watsonii WH 8501	498
Q4C0G7	Q4C0G7_CROWT	CwatDRAFT_2982	Crocosphaera watsonii WH 8501	482
Q4C1V5	Q4C1V5_CROWT	CwatDRAFT_2877	Crocosphaera watsonii WH 8501	410
Q4BYN0	Q4BYN0_CROWT	dnaG CwatDRAFT_1755	Crocosphaera watsonii WH 8501	637
Q4C1R0	Q4C1R0_CROWT	CwatDRAFT_2715	Crocosphaera watsonii WH 8501	132
Q4C901	Q4C901_CROWT	CwatDRAFT_5282	Crocosphaera watsonii WH 8501	280
Q4BXU6	Q4BXU6_CROWT	CwatDRAFT_1725	Crocosphaera watsonii WH 8501	151
Q4C0U1	Q4C0U1_CROWT	CwatDRAFT_2677	Crocosphaera watsonii WH 8501	103
Q4C0X9	Q4C0X9_CROWT	CwatDRAFT_2650	Crocosphaera watsonii WH 8501	336
Q4C4K9	Q4C4K9_CROWT	rpsB rps2 CwatDRAFT_4199	Crocosphaera watsonii WH 8501	269
Q4C3E6	Q4C3E6_CROWT	trpE CwatDRAFT_3694	Crocosphaera watsonii WH 8501	507
Q4BWF9	Q4BWF9_CROWT	CwatDRAFT_1383	Crocosphaera watsonii WH 8501	170
Q4BZ65	Q4BZ65_CROWT	CwatDRAFT_1840	Crocosphaera watsonii WH 8501	361
Q4C9K9	Q4C9K9_CROWT	CwatDRAFT_6464	Crocosphaera watsonii WH 8501	1116
Q4BXS5	Q4BXS5_CROWT	CwatDRAFT_1311	Crocosphaera watsonii WH 8501	795
Q4BV41	Q4BV41_CROWT	CwatDRAFT_0156	Crocosphaera watsonii WH 8501	233
Q4C0V9	Q4C0V9_CROWT	CwatDRAFT_2539	Crocosphaera watsonii WH 8501	102
Q4C0Y5	Q4C0Y5_CROWT	hemL CwatDRAFT_2647	Crocosphaera watsonii WH 8501	433
Q4BVV1	Q4BVV1_CROWT	CwatDRAFT_0636	Crocosphaera watsonii WH 8501	521
Q4C116	Q4C116_CROWT	rplD rpl4 CwatDRAFT_2440	Crocosphaera watsonii WH 8501	210
Q4BYY6	Q4BYY6_CROWT	purC CwatDRAFT_3060	Crocosphaera watsonii WH 8501	246
Q4C684	Q4C684_CROWT	CwatDRAFT_4850	Crocosphaera watsonii WH 8501	112
Q4C7G9	Q4C7G9_CROWT	acsA CwatDRAFT_5663	Crocosphaera watsonii WH 8501	659
Q4C8W1	Q4C8W1_CROWT	CwatDRAFT_5927	Crocosphaera watsonii WH 8501	164
Q4C7H3	Q4C7H3_CROWT	CwatDRAFT_5592	Crocosphaera watsonii WH 8501	264
Q4C2F8	Q4C2F8_CROWT	CwatDRAFT_3341	Crocosphaera watsonii WH 8501	479
Q4BXS6	Q4BXS6_CROWT	CwatDRAFT_1308	Crocosphaera watsonii WH 8501	225
Q4C0X6	Q4C0X6_CROWT	CwatDRAFT_2652	Crocosphaera watsonii WH 8501	454
Q4C0B2	Q4C0B2_CROWT	CwatDRAFT_2919	Crocosphaera watsonii WH 8501	321
Q4C648	Q4C648_CROWT	sepF CwatDRAFT_4834	Crocosphaera watsonii WH 8501	191
Q4BY35	Q4BY35_CROWT	CwatDRAFT_1635	Crocosphaera watsonii WH 8501	162
Q4BUK4	Q4BUK4_CROWT	CwatDRAFT_0218	Crocosphaera watsonii WH 8501	470
Q4C129	Q4C129_CROWT	CwatDRAFT_2460	Crocosphaera watsonii WH 8501	465
Q4BZH6	Q4BZH6_CROWT	CwatDRAFT_2082	Crocosphaera watsonii WH 8501	408
Q4C8J2	Q4C8J2_CROWT	CwatDRAFT_5388	Crocosphaera watsonii WH 8501	560
Q4BVK2	Q4BVK2_CROWT	CwatDRAFT_0672	Crocosphaera watsonii WH 8501	105
Q4BYU5	Q4BYU5_CROWT	CwatDRAFT_1734	Crocosphaera watsonii WH 8501	569
Q4C9R5	Q4C9R5_CROWT	CwatDRAFT_6298	Crocosphaera watsonii WH 8501	95
Q4C124	Q4C124_CROWT	CwatDRAFT_2436	Crocosphaera watsonii WH 8501	227
Q4C4T0	Q4C4T0_CROWT	der CwatDRAFT_4254	Crocosphaera watsonii WH 8501	465
Q4C444	Q4C444_CROWT	CwatDRAFT_3762	Crocosphaera watsonii WH 8501	283
Q4C6C0	Q4C6C0_CROWT	CwatDRAFT_4864	Crocosphaera watsonii WH 8501	576
Q4C259	Q4C259_CROWT	CwatDRAFT_2756	Crocosphaera watsonii WH 8501	280
Q4C702	Q4C702_CROWT	CwatDRAFT_5166	Crocosphaera watsonii WH 8501	408
Q4C374	Q4C374_CROWT	prs CwatDRAFT_3476	Crocosphaera watsonii WH 8501	323
Q4BYB9	Q4BYB9_CROWT	rpsN rps14 CwatDRAFT_1798	Crocosphaera watsonii WH 8501	100
Q4C9T0	Q4C9T0_CROWT	atpA CwatDRAFT_6289	Crocosphaera watsonii WH 8501	503
Q4CAJ8	Q4CAJ8_CROWT	thrS CwatDRAFT_6125	Crocosphaera watsonii WH 8501	642
Q4C8J9	Q4C8J9_CROWT	CwatDRAFT_5868	Crocosphaera watsonii WH 8501	383
Q4C778	Q4C778_CROWT	ileS CwatDRAFT_4887	Crocosphaera watsonii WH 8501	940
Q4BZD1	Q4BZD1_CROWT	rimK CwatDRAFT_2530	Crocosphaera watsonii WH 8501	319
Q4C171	Q4C171_CROWT	CwatDRAFT_3041	Crocosphaera watsonii WH 8501	336
Q4CAW3	Q4CAW3_CROWT	CwatDRAFT_6704	Crocosphaera watsonii WH 8501	296
Q4BZD4	Q4BZD4_CROWT	CwatDRAFT_2510	Crocosphaera watsonii WH 8501	174
Q4C455	Q4C455_CROWT	coaD CwatDRAFT_3716	Crocosphaera watsonii WH 8501	159
Q4CAF3	Q4CAF3_CROWT	CwatDRAFT_6617	Crocosphaera watsonii WH 8501	432
Q4BVC2	Q4BVC2_CROWT	gpsA CwatDRAFT_0650	Crocosphaera watsonii WH 8501	313
Q4BUQ1	Q4BUQ1_CROWT	cbiA CwatDRAFT_0122	Crocosphaera watsonii WH 8501	474
Q4C2B9	Q4C2B9_CROWT	CwatDRAFT_3444	Crocosphaera watsonii WH 8501	232
Q4C958	Q4C958_CROWT	CwatDRAFT_5253	Crocosphaera watsonii WH 8501	239
Q4BUM2	Q4BUM2_CROWT	psbB CwatDRAFT_0123	Crocosphaera watsonii WH 8501	509
Q4BVC4	Q4BVC4_CROWT	CwatDRAFT_0652	Crocosphaera watsonii WH 8501	128
Q4C2B3	Q4C2B3_CROWT	aroE CwatDRAFT_3438	Crocosphaera watsonii WH 8501	288
Q4C1M7	Q4C1M7_CROWT	CwatDRAFT_3228	Crocosphaera watsonii WH 8501	128
Q4BVZ2	Q4BVZ2_CROWT	groS groES CwatDRAFT_0975	Crocosphaera watsonii WH 8501	103
Q4CAE2	Q4CAE2_CROWT	lipB CwatDRAFT_6612	Crocosphaera watsonii WH 8501	219
Q4BY07	Q4BY07_CROWT	pdhA CwatDRAFT_1283	Crocosphaera watsonii WH 8501	343
Q4C8P6	Q4C8P6_CROWT	bipA CwatDRAFT_5888	Crocosphaera watsonii WH 8501	597
Q4C8G1	Q4C8G1_CROWT	CwatDRAFT_5404	Crocosphaera watsonii WH 8501	490
Q4C0I7	Q4C0I7_CROWT	CwatDRAFT_1966	Crocosphaera watsonii WH 8501	362
Q4C9P7	Q4C9P7_CROWT	CwatDRAFT_6490	Crocosphaera watsonii WH 8501	239
Q4C9A1	Q4C9A1_CROWT	xseA CwatDRAFT_6407	Crocosphaera watsonii WH 8501	406
Q4C0F4	Q4C0F4_CROWT	CwatDRAFT_3184	Crocosphaera watsonii WH 8501	479
Q4BXC8	Q4BXC8_CROWT	CwatDRAFT_1032	Crocosphaera watsonii WH 8501	464
Q4BZT4	Q4BZT4_CROWT	ruvB CwatDRAFT_2256	Crocosphaera watsonii WH 8501	354
Q4BZR4	Q4BZR4_CROWT	clpS CwatDRAFT_2462	Crocosphaera watsonii WH 8501	97
Q4BX21	Q4BX21_CROWT	CwatDRAFT_1137	Crocosphaera watsonii WH 8501	103
